name,kor,eng,math
홍길동1,80,90,100
저길동2,81,91,99
구길동3,100,100,100
마길동4,60,50,70
홍길동5,80,90,100
저길동6,81,91,99
구길동7,100,100,100
마길동8,60,50,70
홍길동9,80,90,100
저길동10,81,91,99
구길동11,88,77,66
마길동,60,50,70
홍길동,80,90,100
저길동,81,91,99
구길동,100,100,100
마길동,60,50,70
홍길동,80,90,100
저길동,81,91,99
구길동,100,100,100
마길동,60,50,70
홍길동,80,90,100
저길동,81,91,99
구길동,100,100,100
마길동,60,50,70
홍길동,80,90,100
저길동,81,91,99
구길동,100,100,100
마길동,60,50,70
홍길동,80,90,100
저길동,81,91,99
구길동,100,100,100
마길동,60,50,70
홍길동,80,90,100
저길동,81,91,99
구길동,100,100,100
마길동,60,50,70
